postalFrom,postalTo,weightFrom,weightTo,priceRate
200,299,6,7,$11.76
200,299,7,8,$12.22
200,299,8,9,$12.68
200,299,9,10,$13.14
200,299,10,11,$13.60
200,299,11,12,$14.06
200,299,12,13,$14.52
200,299,13,14,$14.98
200,299,14,15,$15.44
200,299,15,16,$15.90
200,299,16,17,$16.36
200,299,17,18,$16.82
200,299,18,19,$17.28
200,299,19,20,$17.74
200,299,20,21,$18.20
200,299,21,22,$18.66
2600,2620,6,7,$11.76
2600,2620,7,8,$12.22
2600,2620,8,9,$12.68
2600,2620,9,10,$13.14
2600,2620,10,11,$13.60
2600,2620,11,12,$14.06
2600,2620,12,13,$14.52
2600,2620,13,14,$14.98
2600,2620,14,15,$15.44
2600,2620,15,16,$15.90
2600,2620,16,17,$16.36
2600,2620,17,18,$16.82
2600,2620,18,19,$17.28
2600,2620,19,20,$17.74
2600,2620,20,21,$18.20
2600,2620,21,22,$18.66
2900,2920,6,7,$11.76
2900,2920,7,8,$12.22
2900,2920,8,9,$12.68
2900,2920,9,10,$13.14
2900,2920,10,11,$13.60
2900,2920,11,12,$14.06
2900,2920,12,13,$14.52
2900,2920,13,14,$14.98
2900,2920,14,15,$15.44
2900,2920,15,16,$15.90
2900,2920,16,17,$16.36
2900,2920,17,18,$16.82
2900,2920,18,19,$17.28
2900,2920,19,20,$17.74
2900,2920,20,21,$18.20
2900,2920,21,22,$18.66
1000,1935,6,7,$8.00
1000,1935,7,8,$8.00
1000,1935,8,9,$8.00
1000,1935,9,10,$8.00
1000,1935,10,11,$8.00
1000,1935,11,12,$8.00
1000,1935,12,13,$8.00
1000,1935,13,14,$8.00
1000,1935,14,15,$8.00
1000,1935,15,16,$8.00
1000,1935,16,17,$8.00
1000,1935,17,18,$8.00
1000,1935,18,19,$8.00
1000,1935,19,20,$8.00
1000,1935,20,21,$8.00
1000,1935,21,22,$8.00
1936,1999,6,7,$13.70
1936,1999,7,8,$14.65
1936,1999,8,9,$15.60
1936,1999,9,10,$16.55
1936,1999,10,11,$17.50
1936,1999,11,12,$18.45
1936,1999,12,13,$19.40
1936,1999,13,14,$20.35
1936,1999,14,15,$21.30
1936,1999,15,16,$22.25
1936,1999,16,17,$23.20
1936,1999,17,18,$24.15
1936,1999,18,19,$25.10
1936,1999,19,20,$26.05
1936,1999,20,21,$27.00
1936,1999,21,22,$27.95
2000,2249,6,7,$8.00
2000,2249,7,8,$8.00
2000,2249,8,9,$8.00
2000,2249,9,10,$8.00
2000,2249,10,11,$8.00
2000,2249,11,12,$8.00
2000,2249,12,13,$8.00
2000,2249,13,14,$8.00
2000,2249,14,15,$8.00
2000,2249,15,16,$8.00
2000,2249,16,17,$8.00
2000,2249,17,18,$8.00
2000,2249,18,19,$8.00
2000,2249,19,20,$8.00
2000,2249,20,21,$8.00
2000,2249,21,22,$8.00
2250,2263,6,7,$10.16
2250,2263,7,8,$10.52
